date,DXY,GOLD,OIL,SP500,VIX
2025-10-06,98.11000061035156,3948.5,61.689998626708984,6740.27978515625,16.3700008392334
2025-10-07,98.58000183105469,3976.60009765625,61.72999954223633,6714.58984375,17.239999771118164
2025-10-08,98.8499984741211,4043.300048828125,62.54999923706055,6753.72021484375,16.299999237060547
2025-10-09,99.54000091552734,3946.300048828125,61.5099983215332,6735.10986328125,16.43000030517578
2025-10-10,98.9800033569336,3975.89990234375,58.900001525878906,6552.509765625,21.65999984741211
2025-10-13,99.2699966430664,4108.60009765625,59.4900016784668,6654.72021484375,19.030000686645508
2025-10-14,99.05000305175781,4138.7001953125,58.70000076293945,6644.31005859375,20.809999465942383
2025-10-15,98.79000091552734,4176.89990234375,58.27000045776367,6671.06005859375,20.639999389648438
2025-10-16,98.38999938964844,4280.2001953125,57.459999084472656,6629.06982421875,25.309999465942383
2025-10-17,98.43000030517578,4189.89990234375,57.540000915527344,6664.009765625,20.780000686645508
2025-10-20,98.58999633789062,4336.39990234375,57.52000045776367,6735.1298828125,18.229999542236328
2025-10-21,98.93000030517578,4087.699951171875,57.81999969482422,6735.35009765625,17.8700008392334
2025-10-22,98.9000015258789,4044.39990234375,58.5,6699.39990234375,18.600000381469727
2025-10-23,98.94000244140625,4125.5,61.790000915527344,6738.43994140625,17.299999237060547
2025-10-24,98.94999694824219,4118.39990234375,61.5,6791.68994140625,16.3700008392334
2025-10-27,98.77999877929688,4001.89990234375,61.310001373291016,6875.16015625,15.789999961853027
2025-10-28,98.69000244140625,3966.199951171875,60.150001525878906,6890.89013671875,16.420000076293945
2025-10-29,99.22000122070312,3983.699951171875,60.47999954223633,6890.58984375,16.920000076293945
2025-10-30,99.52999877929688,4001.300048828125,60.56999969482422,6822.33984375,16.90999984741211
2025-10-31,99.80000305175781,3982.199951171875,60.97999954223633,6840.2001953125,17.440000534057617
2025-11-03,99.87000274658203,4000.300048828125,61.04999923706055,6851.97021484375,17.170000076293945
2025-11-04,100.22000122070312,3947.699951171875,60.560001373291016,6771.5498046875,19.0
2025-11-05,100.19999694824219,3980.300048828125,59.599998474121094,6796.2900390625,18.010000228881836
2025-11-06,99.7300033569336,3979.89990234375,59.43000030517578,6720.31982421875,19.5
2025-11-07,99.5999984741211,3999.39990234375,59.75,6728.7998046875,19.079999923706055
2025-11-10,99.62000274658203,4111.7998046875,60.130001068115234,6832.43017578125,17.600000381469727
2025-11-11,99.45999908447266,4106.7998046875,61.040000915527344,6846.60986328125,17.280000686645508
2025-11-12,99.4800033569336,4204.39990234375,58.4900016784668,6850.919921875,17.510000228881836
2025-11-13,99.18000030517578,4186.89990234375,58.689998626708984,6737.490234375,20.0
2025-11-14,99.2699966430664,4087.60009765625,60.09000015258789,6734.10986328125,19.829999923706055
2025-11-17,99.58999633789062,4068.300048828125,59.90999984741211,6672.41015625,22.3799991607666
2025-11-18,99.55000305175781,4061.300048828125,60.7400016784668,6617.31982421875,24.690000534057617
2025-11-19,100.2300033569336,4077.699951171875,59.439998626708984,6642.16015625,23.65999984741211
2025-11-20,100.16000366210938,4056.5,59.13999938964844,6538.759765625,26.420000076293945
2025-11-21,100.18000030517578,4076.699951171875,58.060001373291016,6602.990234375,23.43000030517578
2025-11-24,100.13999938964844,4091.89990234375,58.84000015258789,6705.1201171875,20.520000457763672
2025-11-25,99.66000366210938,4139.2001953125,57.95000076293945,6765.8798828125,18.559999465942383
2025-11-26,99.5999984741211,4165.2001953125,58.650001525878906,6812.60986328125,17.190000534057617
2025-11-28,99.45999908447266,4218.2998046875,58.54999923706055,6849.08984375,16.350000381469727
2025-12-01,99.41000366210938,4239.2998046875,59.31999969482422,6812.6298828125,17.239999771118164
2025-12-02,99.36000061035156,4186.60009765625,58.63999938964844,6829.3701171875,16.59000015258789
2025-12-03,98.8499984741211,4199.2998046875,58.95000076293945,6849.72021484375,16.079999923706055
2025-12-04,98.98999786376953,4211.7998046875,59.66999816894531,6857.1201171875,15.779999732971191
2025-12-05,98.98999786376953,4212.89990234375,60.08000183105469,6870.39990234375,15.40999984741211
2025-12-08,99.08999633789062,4187.2001953125,58.880001068115234,6846.509765625,16.65999984741211
2025-12-09,99.22000122070312,4206.7001953125,58.25,6840.509765625,16.93000030517578
2025-12-10,98.79000091552734,4196.39990234375,58.459999084472656,6886.68017578125,15.770000457763672
2025-12-11,98.3499984741211,4285.5,57.599998474121094,6901.0,14.850000381469727
